player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_start,pos_proxy,pts_lag1,reb_lag1,ast_lag1,ts_pct_lag1,usg_pct_lag1,net_rating_lag1,d_pts,d_ts,next_pts,next_reb,next_ast,next_ts_pct,improved_next_pts
Chris Quinn,SAS,27.0,187.96,79.3786,Notre Dame,USA,Undrafted,Undrafted,Undrafted,41,2.0,0.6,1.0,-1.8,0.012,0.087,0.173,0.428,0.236,2010-11,2010,Guard (proxy),2.2,0.6,1.2,0.477,0.149,-10.6,-0.2000000000000001,-0.0489999999999999,,,,,0
Chris Richard,CHI,25.0,205.74,116.119552,Florida,USA,2007,2,41,18,2.1,3.3,0.4,-8.1,0.091,0.201,0.0969999999999999,0.547,0.051,2009-10,2009,Big (proxy),1.9,2.6,0.3,0.496,0.098,-3.1,0.2000000000000001,0.051,,,,,0
Chris Robinson,SAC,24.0,195.58,90.7184,Western Kentucky,USA,1996,2,51,35,4.6,1.3,1.1,-8.9,0.022,0.098,0.225,0.447,0.1669999999999999,1997-98,1997,Wing (proxy),4.6,1.7,1.6,0.486,0.155,-11.4,0.0,-0.0389999999999999,,,,,0
Chris Silva,MIA,25.0,203.2,106.140528,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,10,2.6,3.6,0.7,-16.1,0.127,0.2739999999999999,0.123,0.6409999999999999,0.13,2021-22,2021,Wing (proxy),2.1,1.8,0.4,0.708,0.151,-0.5,0.5,-0.067,,,,,0
Chris Singleton,WAS,24.0,205.74,103.418976,Florida State,USA,2011,1,18,25,3.0,2.2,0.2,-14.9,0.074,0.185,0.168,0.481,0.043,2013-14,2013,Big (proxy),4.1,3.2,0.6,0.425,0.157,-4.6,-1.0999999999999996,0.0559999999999999,,,,,0
Chris Taft,GSW,21.0,208.28,118.38751200000002,Pittsburgh,USA,2005,2,42,17,2.8,2.1,0.1,4.2,0.142,0.156,0.134,0.578,0.024,2005-06,2005,Big (proxy),,,,,,,,,,,,,0
Chris Webber,DET,34.0,208.28,111.13004,Michigan,USA,1993,1,1,61,11.2,7.2,3.1,2.3,0.0819999999999999,0.218,0.215,0.482,0.17,2006-07,2006,Big (proxy),20.2,9.9,3.4,0.482,0.276,-1.9,-9.0,0.0,,,,,0
Chris Whitney,WAS,32.0,182.88,79.3786,Clemson,USA,1993,2,47,16,2.9,0.9,0.9,-16.0,0.016,0.077,0.128,0.498,0.146,2003-04,2003,Guard (proxy),7.0,1.3,2.8,0.4679999999999999,0.19,-12.1,-4.1,0.03,,,,,0
Chris Wilcox,BOS,30.0,208.28,106.59412,Maryland,USA,2002,1,8,61,4.2,3.0,0.4,-0.5,0.081,0.1639999999999999,0.119,0.725,0.0409999999999999,2012-13,2012,Big (proxy),5.4,4.4,0.4,0.612,0.15,-2.8,-1.2000000000000002,0.1129999999999999,,,,,0
Chris Wright,GSW,23.0,203.2,102.511792,Dayton,USA,Undrafted,Undrafted,Undrafted,24,2.9,1.9,0.2,-4.4,0.102,0.151,0.156,0.597,0.035,2011-12,2011,Wing (proxy),,,,,,,,,,,,,0
Christian Braun,DEN,22.0,198.12,99.79024,Kansas,USA,2022,1,21,76,4.7,2.4,0.8,-4.3,0.042,0.1119999999999999,0.127,0.568,0.07,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
Christian Eyenga,CLE,22.0,195.58,95.25432,,Congo,2009,1,30,44,6.9,2.8,0.8,-10.4,0.031,0.121,0.173,0.476,0.061,2010-11,2010,Wing (proxy),,,,,,,,,,,,,0
Christian Koloko,TOR,23.0,213.36,104.32616,Arizona,Cameroon,2022,2,33,58,3.1,2.9,0.5,9.0,0.094,0.11,0.1,0.517,0.05,2022-23,2022,Big (proxy),,,,,,,,,,,,,0
Christian Laettner,MIA,35.0,210.82,111.13004,Duke,USA,1992,1,3,49,5.3,2.7,0.8,11.6,0.06,0.141,0.152,0.619,0.091,2004-05,2004,Big (proxy),5.9,4.8,1.9,0.511,0.147,-8.8,-0.6000000000000005,0.1079999999999999,,,,,0
Christian Wood,DAL,27.0,205.74,97.068688,UNLV,USA,Undrafted,Undrafted,Undrafted,67,16.6,7.3,1.8,-1.3,0.053,0.238,0.259,0.624,0.119,2022-23,2022,Big (proxy),17.9,10.1,2.3,0.595,0.233,-9.1,-1.2999999999999972,0.029,,,,,0
Chuck Hayes,TOR,32.0,198.12,108.86208,Kentucky,USA,Undrafted,Undrafted,Undrafted,29,1.7,1.8,0.7,7.6,0.0819999999999999,0.163,0.106,0.492,0.105,2014-15,2014,Wing (proxy),2.2,3.4,0.6,0.4679999999999999,0.104,4.7,-0.5000000000000002,0.024,,,,,0
Chuck Person,SEA,36.0,203.2,109.315672,Auburn,USA,1986,1,4,37,2.8,1.4,0.6,-5.3,0.018,0.157,0.18,0.4029999999999999,0.106,1999-00,1999,Wing (proxy),6.1,2.6,1.2,0.5,0.163,-1.3,-3.3,-0.097,,,,,0
Chucky Atkins,DET,35.0,180.34,83.91452,South Florida,USA,Undrafted,Undrafted,Undrafted,40,4.0,0.7,2.3,-6.0,0.009,0.053,0.141,0.477,0.22,2009-10,2009,Guard (proxy),3.0,0.7,1.8,0.408,0.156,-6.9,1.0,0.069,,,,,0
Chucky Brown,SAC,34.0,203.2,99.79024,North Carolina State,USA,1989,2,43,18,1.2,1.8,0.3,-9.1,0.098,0.223,0.147,0.377,0.094,2001-02,2001,Wing (proxy),3.9,2.1,0.4,0.4639999999999999,0.157,-6.4,-2.7,-0.0869999999999999,,,,,0
Chuma Okeke,ORL,24.0,203.2,103.872568,Auburn,USA,2019,1,16,27,4.7,3.6,1.4,-10.8,0.049,0.132,0.121,0.488,0.1009999999999999,2022-23,2022,Wing (proxy),8.6,5.0,1.7,0.501,0.159,-8.8,-3.9,-0.013,,,,,0
Clar. Weatherspoon,HOU,34.0,200.66,122.46984,Southern Mississippi,USA,1992,1,9,40,3.1,3.1,0.4,8.1,0.0819999999999999,0.187,0.135,0.475,0.051,2004-05,2004,Wing (proxy),5.0,3.9,0.6,0.5379999999999999,0.152,-5.0,-1.9,-0.0629999999999999,,,,,0
Cleanthony Early,NYK,25.0,203.2,95.25432,Wichita State,USA,2014,2,34,17,1.8,1.5,0.4,0.4,0.0279999999999999,0.146,0.148,0.371,0.0579999999999999,2015-16,2015,Wing (proxy),5.4,2.5,0.9,0.447,0.195,-13.0,-3.6000000000000005,-0.076,,,,,0
Clifford Robinson,NJN,40.0,208.28,111.13004,Connecticut,USA,1989,2,36,50,4.1,2.4,1.0,-10.8,0.037,0.1119999999999999,0.132,0.434,0.092,2006-07,2006,Big (proxy),6.9,3.3,1.1,0.502,0.154,0.3,-2.8000000000000007,-0.068,,,,,0
Clifford Rozier,TOR,24.0,210.82,104.32616,Louisville,USA,1994,1,16,42,4.5,5.6,0.7,-6.3,0.151,0.223,0.14,0.471,0.067,1996-97,1996,Big (proxy),,,,,,,,,,,,,0
Clint Capela,ATL,29.0,208.28,116.119552,,Switzerland,2014,1,25,65,12.0,11.0,0.9,-1.1,0.142,0.268,0.151,0.6559999999999999,0.045,2022-23,2022,Big (proxy),11.1,11.9,1.2,0.604,0.149,3.3,0.9000000000000004,0.0519999999999999,,,,,0
Clyde Drexler,HOU,36.0,200.66,100.697424,Houston,USA,1983,1,14,70,18.4,4.9,5.5,1.1,0.05,0.113,0.256,0.531,0.268,1997-98,1997,Wing (proxy),18.0,6.0,5.7,0.5479999999999999,0.231,7.5,0.3999999999999986,-0.0169999999999999,,,,,0
Coby Karl,LAL,25.0,195.58,97.52228,Boise State,USA,Undrafted,Undrafted,Undrafted,17,1.8,0.8,0.5,16.1,0.045,0.143,0.218,0.493,0.184,2007-08,2007,Wing (proxy),,,,,,,,,,,,,0
Coby White,CHI,23.0,195.58,88.45044,North Carolina,USA,2019,1,7,74,9.7,2.9,2.8,4.0,0.009,0.11,0.17,0.5720000000000001,0.159,2022-23,2022,Wing (proxy),12.7,3.0,2.9,0.564,0.195,-1.2,-3.0,0.0080000000000001,,,,,0
Cody Martin,CHA,26.0,198.12,92.98636,Nevada-Reno,USA,2019,2,36,71,7.7,4.0,2.5,0.1,0.043,0.108,0.12,0.579,0.124,2021-22,2021,Wing (proxy),4.0,3.1,1.7,0.5,0.123,1.0,3.7,0.0789999999999999,,,,,0
Cody Zeller,MIA,30.0,210.82,108.86208,Indiana,USA,2013,1,4,15,6.5,4.3,0.7,-10.3,0.1169999999999999,0.2,0.175,0.659,0.077,2022-23,2022,Big (proxy),5.2,4.6,0.8,0.627,0.153,-2.1,1.2999999999999998,0.032,,,,,0
Cole Aldrich,MIN,29.0,210.82,114.758776,Kansas,USA,2010,1,11,21,0.6,0.7,0.1,-1.8,0.057,0.286,0.151,0.34,0.081,2017-18,2017,Big (proxy),1.7,2.5,0.4,0.5489999999999999,0.094,-0.2,-1.1,-0.2089999999999999,,,,,0
Cole Anthony,ORL,23.0,190.5,83.91452,North Carolina,USA,2020,1,15,60,13.0,4.8,3.9,-0.1,0.03,0.152,0.209,0.57,0.228,2022-23,2022,Guard (proxy),16.3,5.4,5.7,0.519,0.245,-5.4,-3.3000000000000007,0.0509999999999999,,,,,0
Collin Sexton,UTA,24.0,187.96,86.18248,Alabama,USA,2018,1,8,48,14.3,2.2,2.9,0.1,0.032,0.0559999999999999,0.23,0.616,0.178,2022-23,2022,Guard (proxy),16.0,3.3,2.1,0.523,0.264,-5.8,-1.6999999999999993,0.0929999999999999,,,,,0
Corey Beck,CHH,28.0,190.5,90.7184,Arkansas,USA,Undrafted,Undrafted,Undrafted,24,1.9,1.2,0.8,4.9,0.042,0.142,0.158,0.493,0.183,1998-99,1998,Guard (proxy),3.2,1.5,1.7,0.516,0.16,2.4,-1.3000000000000005,-0.023,,,,,0
Corey Benjamin,CHI,23.0,198.12,92.98636,Oregon State,USA,1998,1,28,65,4.7,1.5,1.1,-12.5,0.049,0.089,0.217,0.4529999999999999,0.148,2000-01,2000,Wing (proxy),7.7,1.8,1.1,0.479,0.245,-11.2,-3.0,-0.026,,,,,0
Corey Brewer,SAC,33.0,205.74,84.368112,Florida,USA,2007,1,7,31,4.9,2.5,1.3,0.0,0.045,0.098,0.13,0.532,0.107,2018-19,2018,Big (proxy),5.3,2.1,0.9,0.534,0.136,-2.3,-0.3999999999999994,-0.002,,,,,0
Corey Kispert,WAS,24.0,198.12,101.604608,Gonzaga,USA,2021,1,15,74,11.1,2.8,1.2,-3.2,0.016,0.0819999999999999,0.139,0.657,0.0559999999999999,2022-23,2022,Wing (proxy),8.2,2.7,1.1,0.586,0.142,0.1,2.9000000000000004,0.071,,,,,0
Corey Maggette,DET,33.0,198.12,102.0582,Duke,USA,1999,1,13,18,5.3,1.4,1.1,-3.1,0.021,0.09,0.2019999999999999,0.489,0.121,2012-13,2012,Wing (proxy),15.0,3.9,1.2,0.517,0.267,-15.7,-9.7,-0.028,,,,,0
Corie Blount,TOR,35.0,208.28,109.769264,Cincinnati,USA,1993,1,25,62,4.0,4.4,0.9,-0.3,0.107,0.1889999999999999,0.136,0.462,0.084,2003-04,2003,Big (proxy),3.0,4.1,1.0,0.502,0.104,0.1,1.0,-0.0399999999999999,,,,,0
Corliss Williamson,SAC,33.0,200.66,111.13004,Arkansas,USA,1995,1,13,68,9.1,3.3,0.6,3.7,0.057,0.1369999999999999,0.226,0.5589999999999999,0.054,2006-07,2006,Wing (proxy),3.4,1.8,0.4,0.506,0.201,5.1,5.699999999999999,0.0529999999999999,,,,,0
Corsley Edwards,NOH,26.0,205.74,124.7378,Central Connecticut State,USA,2002,2,57,10,2.7,2.5,0.3,-14.6,0.1119999999999999,0.149,0.166,0.372,0.057,2004-05,2004,Big (proxy),,,,,,,,,,,,,0
Cory Alexander,CHA,32.0,185.42,86.18248,Virginia,USA,1995,1,29,16,3.1,1.8,2.3,-11.9,0.04,0.123,0.161,0.451,0.319,2004-05,2004,Guard (proxy),2.0,1.0,1.4,0.407,0.178,-6.6,1.1,0.044,,,,,0
Cory Carr,CHI,23.0,193.04,95.25432,Texas Tech,USA,1998,2,49,42,4.1,1.2,1.6,-14.0,0.015,0.0819999999999999,0.21,0.372,0.206,1998-99,1998,Guard (proxy),,,,,,,,,,,,,0
Cory Higgins,CHA,23.0,195.58,81.64656,Colorado,USA,Undrafted,Undrafted,Undrafted,38,3.9,0.9,0.9,-15.1,0.02,0.081,0.251,0.402,0.159,2011-12,2011,Wing (proxy),,,,,,,,,,,,,0
Cory Jefferson,BKN,24.0,205.74,98.883056,Baylor,USA,2014,2,60,50,3.7,2.9,0.3,6.8,0.1009999999999999,0.2,0.174,0.48,0.047,2014-15,2014,Big (proxy),,,,,,,,,,,,,0
Cory Joseph,DET,31.0,190.5,90.7184,Texas,Canada,2011,1,29,62,6.9,1.7,3.5,-4.1,0.016,0.07,0.149,0.5579999999999999,0.256,2022-23,2022,Guard (proxy),8.0,2.7,3.6,0.579,0.141,-6.4,-1.0999999999999996,-0.021,,,,,0
Courtney Alexander,NOH,26.0,195.58,92.98636,Fresno State,USA,2000,1,13,66,7.9,1.8,1.2,-0.3,0.033,0.068,0.214,0.4589999999999999,0.105,2002-03,2002,Wing (proxy),9.8,2.6,1.5,0.521,0.204,-6.4,-1.9000000000000004,-0.0620000000000001,,,,,0
Courtney Fortson,HOU,24.0,180.34,83.91452,Arkansas,USA,Undrafted,Undrafted,Undrafted,10,3.5,1.5,1.0,-22.6,0.061,0.107,0.217,0.4529999999999999,0.222,2011-12,2011,Guard (proxy),,,,,,,,,,,,,0
Courtney Lee,DAL,34.0,195.58,97.52228,Western Kentucky,USA,2008,1,22,24,4.5,1.3,0.5,6.7,0.019,0.07,0.1159999999999999,0.629,0.044,2019-20,2019,Wing (proxy),4.0,1.6,1.1,0.492,0.15,-6.4,0.5,0.137,,,,,0
Craig Brackins,PHI,24.0,208.28,104.32616,Iowa State,USA,2010,1,21,14,1.6,1.1,0.6,-32.3,0.054,0.128,0.193,0.325,0.174,2011-12,2011,Big (proxy),,,,,,,,,,,,,0
Craig Ehlo,SEA,35.0,198.12,81.64656,Washington State,USA,1983,3,48,62,3.5,1.8,1.1,5.7,0.0559999999999999,0.107,0.166,0.412,0.13,1996-97,1996,Wing (proxy),,,,,,,,,,,,,0
Craig Smith,POR,28.0,200.66,120.20188,Boston College,USA,2006,2,36,47,3.3,2.3,0.4,-9.7,0.081,0.1969999999999999,0.158,0.556,0.067,2011-12,2011,Wing (proxy),5.4,2.4,0.6,0.5920000000000001,0.1939999999999999,-5.7,-2.1000000000000005,-0.036,,,,,0
Cristiano Felicio,CHI,28.0,210.82,122.46984,,Brazil,Undrafted,Undrafted,Undrafted,18,1.3,1.4,0.5,7.1,0.1119999999999999,0.205,0.1169999999999999,0.574,0.155,2020-21,2020,Big (proxy),3.9,4.6,0.7,0.6709999999999999,0.088,-7.7,-2.6,-0.0969999999999999,,,,,0
Curtis Borchardt,UTA,24.0,213.36,109.769264,Stanford,USA,2002,1,18,67,3.0,3.3,0.7,-9.2,0.1169999999999999,0.218,0.1369999999999999,0.492,0.096,2004-05,2004,Big (proxy),3.6,3.4,0.9,0.4539999999999999,0.149,-6.2,-0.6000000000000001,0.038,,,,,0
Cuttino Mobley,LAC,33.0,193.04,97.52228,Rhode Island,USA,1998,2,41,11,13.7,2.6,1.1,-9.0,0.025,0.066,0.212,0.491,0.055,2008-09,2008,Guard (proxy),12.8,3.6,2.6,0.514,0.185,-7.8,0.8999999999999986,-0.023,,,,,0
D'Angelo Russell,LAL,27.0,193.04,87.543256,Ohio State,USA,2015,1,2,71,17.8,3.0,6.2,1.5,0.016,0.075,0.225,0.605,0.2739999999999999,2022-23,2022,Guard (proxy),18.1,3.3,7.1,0.544,0.246,4.7,-0.3000000000000007,0.0609999999999999,,,,,0
D.J. Augustin,LAL,34.0,180.34,83.007336,Texas-Austin,USA,2008,1,9,55,5.3,1.2,1.9,-10.6,0.012,0.065,0.139,0.61,0.176,2021-22,2021,Guard (proxy),7.7,1.6,3.3,0.57,0.1639999999999999,-1.8,-2.4000000000000004,0.04,,,,,0
D.J. Wilson,HOU,25.0,208.28,104.779752,Michigan,USA,2017,1,17,35,5.2,3.2,0.7,-11.3,0.042,0.1989999999999999,0.195,0.511,0.088,2020-21,2020,Big (proxy),3.6,2.5,0.7,0.475,0.175,-6.3,1.6,0.036,,,,,0
DJ Mbenga,NOH,30.0,213.36,115.66596,,Democratic Republic of the Congo,Undrafted,Undrafted,Undrafted,41,1.4,2.1,0.1,-5.2,0.125,0.168,0.1119999999999999,0.518,0.032,2010-11,2010,Big (proxy),2.1,1.8,0.2,0.471,0.166,-2.4,-0.7000000000000002,0.047,,,,,0
DJ Strawberry,PHX,23.0,195.58,91.171992,Maryland,USA,2007,2,59,33,2.2,0.8,0.9,-3.2,0.034,0.073,0.1889999999999999,0.364,0.165,2007-08,2007,Wing (proxy),,,,,,,,,,,,,0
DJ White,BOS,26.0,205.74,113.398,Indiana,USA,2008,1,29,12,2.4,1.1,0.3,13.9,0.061,0.111,0.165,0.5379999999999999,0.07,2012-13,2012,Big (proxy),6.8,3.6,0.8,0.516,0.179,-16.1,-4.4,0.0219999999999999,,,,,0
DaJuan Summers,NOH,24.0,203.2,108.86208,Georgetown,USA,2009,2,35,15,4.5,1.5,0.7,-8.3,0.045,0.094,0.173,0.493,0.083,2011-12,2011,Wing (proxy),3.4,0.5,0.1,0.476,0.217,-4.6,1.1,0.017,,,,,0
DaQuan Jeffries,SAS,23.0,195.58,104.32616,Tulsa,USA,Undrafted,Undrafted,Undrafted,31,4.1,2.3,0.7,-4.5,0.036,0.103,0.114,0.514,0.059,2020-21,2020,Wing (proxy),3.8,1.4,0.5,0.586,0.129,3.0,0.2999999999999998,-0.0719999999999999,,,,,0
Daequan Cook,CHI,26.0,195.58,95.25432,Ohio State,USA,2007,1,21,49,2.8,1.2,0.4,-5.8,0.017,0.146,0.188,0.3979999999999999,0.072,2012-13,2012,Wing (proxy),5.5,2.1,0.3,0.509,0.15,6.4,-2.7,-0.1110000000000001,,,,,0
Dahntay Jones,LAC,34.0,198.12,102.0582,Duke,USA,2003,1,20,33,0.6,0.3,0.1,-23.0,0.008,0.093,0.103,0.406,0.027,2014-15,2014,Wing (proxy),3.4,1.3,0.6,0.482,0.14,-1.8,-2.8,-0.0759999999999999,,,,,0
Dairis Bertans,NOP,29.0,193.04,90.7184,,Latvia,Undrafted,Undrafted,Undrafted,12,2.8,0.8,0.8,-15.0,0.011,0.036,0.12,0.362,0.078,2018-19,2018,Guard (proxy),,,,,,,,,,,,,0
Daishen Nix,HOU,21.0,193.04,102.511792,,USA,Undrafted,Undrafted,Undrafted,57,4.0,1.7,2.3,-8.2,0.018,0.091,0.149,0.447,0.191,2022-23,2022,Guard (proxy),3.2,1.4,1.7,0.48,0.1669999999999999,-6.6,0.7999999999999998,-0.0329999999999999,,,,,0
Dajuan Wagner,CLE,22.0,187.96,90.7184,Memphis,USA,2002,1,6,11,4.0,0.2,1.2,-6.7,0.0,0.026,0.295,0.3879999999999999,0.22,2004-05,2004,Guard (proxy),6.5,1.3,1.2,0.439,0.2319999999999999,-7.9,-2.5,-0.0510000000000001,,,,,0
Dakari Johnson,OKC,22.0,213.36,115.66596,Kentucky,USA,2015,2,48,31,1.8,1.1,0.3,10.9,0.099,0.111,0.139,0.575,0.083,2017-18,2017,Big (proxy),,,,,,,,,,,,,0
Dalano Banton,TOR,23.0,200.66,92.532768,Nebraska,Canada,2021,2,46,31,4.6,1.5,1.2,-6.5,0.036,0.13,0.2289999999999999,0.505,0.2019999999999999,2022-23,2022,Wing (proxy),3.2,1.9,1.5,0.4629999999999999,0.159,1.5,1.3999999999999997,0.042,,,,,0
Dale Davis,DET,38.0,210.82,114.305184,Clemson,USA,1991,1,13,46,1.8,3.0,0.3,5.0,0.141,0.184,0.1,0.486,0.0409999999999999,2006-07,2006,Big (proxy),0.9,1.9,0.2,0.425,0.089,-10.1,0.9,0.061,,,,,0
Dale Ellis,CHH,39.0,200.66,92.98636,Tennessee,USA,1983,1,9,42,4.2,1.3,0.3,4.8,0.027,0.091,0.148,0.54,0.038,1999-00,1999,Wing (proxy),10.3,2.4,0.8,0.581,0.175,-0.7,-6.1000000000000005,-0.0409999999999999,,,,,0
Dalen Terry,CHI,20.0,200.66,88.45044,Arizona,USA,2022,1,18,38,2.2,1.0,0.6,3.3,0.0559999999999999,0.1169999999999999,0.173,0.523,0.157,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
Dalibor Bagaric,CHI,22.0,215.9,131.54168,,Croatia,2000,1,24,10,1.9,2.0,0.4,1.8,0.086,0.2,0.186,0.342,0.103,2002-03,2002,Big (proxy),3.7,3.2,0.5,0.4429999999999999,0.188,-11.9,-1.8000000000000005,-0.1009999999999998,,,,,0
Damian Jones,UTA,28.0,210.82,111.13004,Vanderbilt,USA,2016,1,30,41,3.5,3.0,0.4,-9.0,0.078,0.152,0.102,0.7190000000000001,0.044,2022-23,2022,Big (proxy),8.1,4.4,1.2,0.701,0.163,-6.8,-4.6,0.0180000000000001,,,,,0
Damian Lillard,POR,32.0,187.96,88.45044,Weber State,USA,2012,1,6,58,32.2,4.8,7.3,2.1,0.022,0.1119999999999999,0.331,0.645,0.3379999999999999,2022-23,2022,Guard (proxy),24.0,4.1,7.3,0.55,0.288,-1.8,8.200000000000003,0.0949999999999999,,,,,0
Damien Inglis,MIL,21.0,203.2,111.583632,,France,2014,2,31,20,1.8,1.6,0.5,-10.0,0.016,0.195,0.158,0.444,0.1119999999999999,2015-16,2015,Wing (proxy),,,,,,,,,,,,,0
Damien Wilkins,IND,38.0,198.12,98.429464,Georgia,USA,Undrafted,Undrafted,Undrafted,19,1.7,0.8,0.5,7.0,0.031,0.072,0.125,0.405,0.075,2017-18,2017,Wing (proxy),6.4,1.7,1.5,0.5329999999999999,0.175,-4.0,-4.7,-0.1279999999999999,,,,,0
Damion James,NJN,23.0,200.66,99.79024,Texas,USA,2010,1,24,25,4.4,3.4,0.8,-3.3,0.048,0.211,0.16,0.477,0.0819999999999999,2010-11,2010,Wing (proxy),,,,,,,,,,,,,0
Damion Lee,PHX,30.0,195.58,95.25432,Drexel,USA,Undrafted,Undrafted,Undrafted,74,8.2,3.0,1.3,2.7,0.024,0.124,0.155,0.607,0.092,2022-23,2022,Wing (proxy),7.4,3.2,1.0,0.561,0.156,2.8,0.7999999999999989,0.0459999999999999,,,,,0
Damir Markota,MIL,21.0,208.28,102.0582,,USA,2006,2,59,30,1.7,1.0,0.2,-17.6,0.076,0.129,0.193,0.449,0.059,2006-07,2006,Big (proxy),,,,,,,,,,,,,0
Damjan Rudez,ORL,31.0,208.28,103.418976,,Croatia,Undrafted,Undrafted,Undrafted,45,1.8,0.6,0.4,-17.3,0.017,0.079,0.138,0.466,0.1009999999999999,2016-17,2016,Big (proxy),2.3,0.6,0.3,0.5720000000000001,0.126,-2.1,-0.4999999999999998,-0.106,,,,,0
Damon Jones,MIL,32.0,190.5,88.45044,Houston,USA,Undrafted,Undrafted,Undrafted,18,1.8,0.3,0.4,1.7,0.0,0.065,0.17,0.485,0.086,2008-09,2008,Guard (proxy),6.5,1.1,1.9,0.5820000000000001,0.141,0.2,-4.7,-0.097,,,,,0
Damon Stoudamire,SAS,34.0,177.8,77.56423199999999,Arizona,USA,1995,1,7,60,5.3,2.0,2.8,-4.6,0.022,0.108,0.193,0.45,0.244,2007-08,2007,Guard (proxy),7.5,2.2,4.8,0.493,0.174,-7.6,-2.2,-0.0429999999999999,,,,,0
Damone Brown,WAS,26.0,203.2,91.625584,Syracuse,USA,2001,2,36,14,3.9,2.0,1.0,-1.5,0.069,0.138,0.225,0.409,0.161,2004-05,2004,Wing (proxy),1.4,0.2,0.1,0.469,0.2289999999999999,-10.1,2.5,-0.06,,,,,0
Damyean Dotson,CLE,27.0,195.58,95.25432,Houston,USA,2017,2,44,46,6.7,2.0,2.0,-12.5,0.005,0.095,0.162,0.499,0.161,2020-21,2020,Wing (proxy),6.7,1.9,1.2,0.527,0.158,-5.3,0.0,-0.028,,,,,0
Dan Dickau,LAC,29.0,182.88,81.64656,Gonzaga,USA,2002,1,28,67,5.3,1.4,2.6,-4.1,0.0139999999999999,0.099,0.172,0.53,0.273,2007-08,2007,Guard (proxy),3.3,0.9,1.4,0.476,0.211,2.6,2.0,0.054,,,,,0
Dan Gadzuric,NJN,33.0,210.82,108.86208,UCLA,Netherlands,2002,2,33,42,2.8,3.2,0.3,-7.7,0.159,0.172,0.161,0.419,0.046,2010-11,2010,Big (proxy),2.8,2.9,0.4,0.44,0.161,4.1,0.0,-0.021,,,,,0
Dan Langhi,PHX,25.0,210.82,99.79024,Vanderbilt,USA,2000,2,31,60,3.1,1.5,0.4,11.1,0.039,0.148,0.192,0.434,0.061,2002-03,2002,Big (proxy),3.1,2.0,0.4,0.412,0.146,-21.4,0.0,0.022,,,,,0
Dan Majerle,PHX,36.0,198.12,100.697424,Central Michigan,USA,1988,1,14,65,4.6,2.7,1.4,1.9,0.026,0.142,0.129,0.49,0.1119999999999999,2001-02,2001,Wing (proxy),5.0,3.1,1.7,0.48,0.1159999999999999,4.4,-0.4000000000000003,0.01,,,,,0
Dan Schayes,ORL,40.0,210.82,117.93392,Syracuse,USA,1981,1,13,19,1.5,0.7,0.2,7.2,0.026,0.098,0.131,0.431,0.044,1998-99,1998,Big (proxy),5.5,3.3,0.6,0.479,0.178,-0.6,-4.0,-0.0479999999999999,,,,,0
Dana Barros,DET,35.0,180.34,74.84268,Boston College,USA,1989,1,16,29,6.7,2.0,2.7,0.8,0.002,0.109,0.192,0.473,0.221,2001-02,2001,Guard (proxy),8.0,1.6,1.8,0.534,0.2019999999999999,-3.6,-1.2999999999999998,-0.061,,,,,0
Daniel Ewing,LAC,24.0,190.5,83.91452,Duke,USA,2005,2,32,61,2.9,1.2,1.5,4.3,0.016,0.105,0.156,0.495,0.215,2006-07,2006,Guard (proxy),3.8,1.3,1.3,0.4579999999999999,0.16,-1.2,-0.8999999999999999,0.037,,,,,0
Daniel Gafford,WAS,24.0,208.28,106.140528,Arkansas,USA,2019,2,38,78,9.0,5.6,1.1,-2.5,0.103,0.159,0.146,0.7390000000000001,0.074,2022-23,2022,Big (proxy),9.4,5.7,0.9,0.708,0.16,-6.9,-0.4000000000000003,0.0310000000000001,,,,,0
Daniel Gibson,CLE,27.0,187.96,90.7184,Texas,USA,2006,2,42,46,5.4,1.3,1.8,-13.5,0.006,0.077,0.144,0.475,0.147,2012-13,2012,Guard (proxy),7.5,2.9,2.2,0.493,0.151,-3.2,-2.1,-0.018,,,,,0
Daniel Hamilton,ATL,23.0,200.66,88.45044,Connecticut,USA,2016,2,56,19,3.0,2.5,1.2,-4.9,0.043,0.161,0.153,0.455,0.157,2018-19,2018,Wing (proxy),,,,,,,,,,,,,0
Daniel Ochefu,WAS,23.0,210.82,111.13004,Villanova,USA,Undrafted,Undrafted,Undrafted,19,1.3,1.2,0.2,-20.5,0.077,0.288,0.19,0.43,0.07,2016-17,2016,Big (proxy),,,,,,,,,,,,,0
Daniel Orton,PHI,23.0,208.28,124.7378,Kentucky,USA,2010,1,29,22,3.0,2.8,0.7,-8.6,0.07,0.209,0.131,0.54,0.0969999999999999,2013-14,2013,Big (proxy),2.5,2.0,0.3,0.493,0.161,-4.2,0.5,0.047,,,,,0
Daniel Oturu,LAC,21.0,203.2,108.86208,Minnesota,USA,2020,2,33,30,1.8,1.6,0.3,1.8,0.119,0.157,0.174,0.471,0.092,2020-21,2020,Wing (proxy),,,,,,,,,,,,,0
