player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_start,pos_proxy,pts_lag1,reb_lag1,ast_lag1,ts_pct_lag1,usg_pct_lag1,net_rating_lag1,d_pts,d_ts,next_pts,next_reb,next_ast,next_ts_pct,improved_next_pts
Shane Heal,MIN,26.0,182.88,81.64656,,USA,Undrafted,Undrafted,Undrafted,43,1.7,0.4,0.8,-0.7,0.008,0.075,0.204,0.3779999999999999,0.214,1996-97,1996,Guard (proxy),,,,,,,,,,,,,0
Shane Larkin,BOS,25.0,180.34,79.3786,Miami,USA,2013,1,18,54,4.3,1.7,1.8,0.5,0.019,0.1009999999999999,0.153,0.491,0.21,2017-18,2017,Guard (proxy),7.3,2.3,4.4,0.515,0.175,-9.6,-3.0,-0.024,,,,,0
Shannon Brown,NYK,28.0,193.04,95.25432,Michigan State,USA,2006,1,25,29,2.2,1.0,0.3,-7.8,0.032,0.098,0.17,0.419,0.059,2013-14,2013,Guard (proxy),10.5,2.5,1.8,0.493,0.225,-8.1,-8.3,-0.074,,,,,0
Shaquille Harrison,DEN,27.0,200.66,86.18248,Tulsa,USA,Undrafted,Undrafted,Undrafted,34,2.1,1.4,0.7,-10.1,0.02,0.1169999999999999,0.124,0.416,0.109,2020-21,2020,Wing (proxy),4.9,2.0,1.1,0.5589999999999999,0.176,6.8,-2.8000000000000003,-0.1429999999999999,,,,,0
Shaquille O'Neal,BOS,39.0,215.9,147.4174,Louisiana State,USA,1992,1,1,37,9.2,4.8,0.7,13.2,0.092,0.205,0.2,0.659,0.051,2010-11,2010,Big (proxy),12.0,6.7,1.5,0.565,0.253,3.8,-2.8000000000000007,0.094,,,,,0
Shareef Abdur-Rahim,SAC,30.0,205.74,111.13004,California,USA,1996,1,3,80,9.9,5.0,1.4,-4.6,0.07,0.17,0.196,0.524,0.092,2006-07,2006,Big (proxy),12.3,5.0,2.1,0.588,0.201,3.9,-2.4000000000000004,-0.0639999999999999,,,,,0
Sharife Cooper,ATL,21.0,185.42,79.83219199999998,Auburn,USA,2021,2,48,13,0.5,0.4,0.4,-43.9,0.0,0.147,0.2019999999999999,0.25,0.313,2021-22,2021,Guard (proxy),,,,,,,,,,,,,0
Sharone Wright,TOR,24.0,210.82,117.93392,Clemson,USA,1994,1,6,60,6.5,3.1,0.5,-9.3,0.089,0.126,0.255,0.423,0.054,1996-97,1996,Big (proxy),,,,,,,,,,,,,0
Shaun Livingston,GSW,33.0,200.66,87.089664,,USA,2004,1,4,64,4.0,1.8,1.8,3.2,0.043,0.071,0.118,0.555,0.154,2018-19,2018,Wing (proxy),5.5,1.8,2.0,0.5329999999999999,0.165,5.8,-1.5,0.0220000000000001,,,,,0
Shavlik Randolph,PHX,31.0,208.28,107.047712,Duke,USA,Undrafted,Undrafted,Undrafted,21,1.1,1.8,0.2,-10.9,0.1169999999999999,0.21,0.144,0.298,0.051,2014-15,2014,Big (proxy),1.4,1.8,0.1,0.531,0.1119999999999999,21.2,-0.2999999999999998,-0.233,,,,,0
Shawn Bradley,DAL,33.0,228.6,124.7378,Brigham Young,USA,1993,1,2,77,2.7,2.8,0.2,11.4,0.093,0.18,0.126,0.494,0.024,2004-05,2004,Big (proxy),3.3,2.6,0.3,0.523,0.134,5.1,-0.5999999999999996,-0.029,,,,,0
Shawn Kemp,ORL,33.0,208.28,127.00576,Trinity Valley Community College,USA,1989,1,17,79,6.8,5.7,0.7,-2.3,0.099,0.2239999999999999,0.187,0.4679999999999999,0.055,2002-03,2002,Big (proxy),6.1,3.8,0.7,0.489,0.2019999999999999,-1.7,0.7000000000000002,-0.021,,,,,0
Shawn Long,PHI,24.0,205.74,115.66596,Louisiana-Lafayette,USA,Undrafted,Undrafted,Undrafted,18,8.2,4.7,0.7,2.6,0.196,0.214,0.245,0.595,0.087,2016-17,2016,Big (proxy),,,,,,,,,,,,,0
Shawn Marion,CLE,37.0,200.66,103.418976,Nevada-Las Vegas,USA,1999,1,9,57,4.8,3.5,0.9,2.2,0.068,0.143,0.128,0.489,0.069,2014-15,2014,Wing (proxy),10.4,6.5,1.6,0.537,0.158,0.0,-5.6000000000000005,-0.048,,,,,0
Shawn Respert,PHX,27.0,185.42,88.45044,Michigan State,USA,1995,1,8,12,3.1,1.1,0.7,-1.4,0.023,0.1159999999999999,0.218,0.4579999999999999,0.17,1998-99,1998,Guard (proxy),5.9,1.8,1.1,0.53,0.179,-11.9,-2.8000000000000003,-0.0720000000000001,,,,,0
Shawne Williams,DET,29.0,208.28,104.32616,Memphis,USA,2006,1,17,63,5.4,2.6,0.7,-4.8,0.04,0.148,0.152,0.537,0.068,2014-15,2014,Big (proxy),5.6,4.6,0.8,0.503,0.132,1.6,-0.1999999999999993,0.034,,,,,0
Shawnelle Scott,DEN,30.0,208.28,113.398,St. John's (NY),USA,1994,2,43,21,3.9,4.9,0.4,-5.8,0.1939999999999999,0.2269999999999999,0.1669999999999999,0.489,0.0559999999999999,2001-02,2001,Big (proxy),1.6,1.9,0.1,0.424,0.211,-15.5,2.3,0.065,,,,,0
Shayne Whittington,IND,24.0,210.82,113.398,Western Michigan,USA,Undrafted,Undrafted,Undrafted,20,2.9,1.5,0.3,2.9,0.103,0.198,0.247,0.547,0.094,2014-15,2014,Big (proxy),,,,,,,,,,,,,0
