Feature,Coefficient,Abs_Coefficient
cat__college_Delta State,0.0,0.0
cat__college_Delaware State,-0.0,0.0
cat__college_DePaul,-0.0,0.0
cat__college_Dayton,-0.0,0.0
cat__college_Davidson,0.0,0.0
cat__college_Creighton,0.0,0.0
cat__college_Connecticut,0.0,0.0
cat__college_Colorado State,0.0,0.0
cat__college_Colorado,0.0,0.0
cat__college_College of Charleston,-0.0,0.0
cat__college_Colgate,0.0,0.0
cat__college_Cleveland State,-0.0,0.0
cat__college_Clemson,-0.0,0.0
cat__college_Cincinnati,-0.0,0.0
cat__college_Central State (OH),-0.0,0.0
cat__college_Central Oklahoma,0.0,0.0
cat__college_Central Michigan,0.0,0.0
cat__college_Central Florida,-0.0,0.0
cat__college_Central Connecticut State,-0.0,0.0
cat__college_Central Arkansas,-0.0,0.0
cat__college_California-Santa Barbara,0.0,0.0
cat__college_California-Irvine,0.0,0.0
cat__college_California-Berkeley,-0.0,0.0
cat__college_Eastern Washington,-0.0,0.0
cat__college_Fayetteville State,0.0,0.0
cat__college_Florida,0.0,0.0
cat__college_Harvard,0.0,0.0
cat__college_Jacksonville,-0.0,0.0
cat__college_Jackson State,-0.0,0.0
cat__college_Iowa State,-0.0,0.0
cat__college_Iowa,-0.0,0.0
cat__college_Indiana-Purdue Indianapolis,0.0,0.0
cat__college_Indiana-Purdue Fort Wayne,-0.0,0.0
cat__college_Indiana Purdue-Indianapolis,0.0,0.0
cat__college_Indiana,-0.0,0.0
cat__college_Illinois,-0.0,0.0
cat__college_Houston,-0.0,0.0
cat__college_Holy Cross,-0.0,0.0
cat__college_Hofstra,-0.0,0.0
cat__college_Hawaii,0.0,0.0
cat__college_Hartford,-0.0,0.0
cat__college_Florida A&M,-0.0,0.0
cat__college_Hampton,0.0,0.0
cat__college_Gonzaga,0.0,0.0
cat__college_Georgia Tech,-0.0,0.0
cat__college_Georgia Southern,0.0,0.0
cat__college_Georgia Institute of Technology,-0.0,0.0
cat__college_Georgia,-0.0,0.0
cat__college_Georgetown,0.0,0.0
cat__college_George Washington,-0.0,0.0
cat__college_Fresno State,0.0,0.0
cat__college_Fordham,0.0,0.0
cat__college_Florida State,0.0,0.0
cat__college_Florida International,0.0,0.0
cat__college_Florida Gulf Coast,-0.0,0.0
cat__college_California State-Long Beach,0.0,0.0
cat__college_Cal State-Long Beach,0.0,0.0
cat__college_Truman State,-0.0,0.0
cat__college_Cal State-Fullerton,0.0,0.0
cat__team_abbreviation_PHI,-0.0,0.0
cat__team_abbreviation_ORL,-0.0,0.0
cat__team_abbreviation_OKC,0.0,0.0
cat__team_abbreviation_NOP,-0.0,0.0
cat__team_abbreviation_NOK,-0.0,0.0
cat__team_abbreviation_NOH,-0.0,0.0
cat__team_abbreviation_NJN,-0.0,0.0
cat__team_abbreviation_MIN,-0.0,0.0
cat__team_abbreviation_MIL,-0.0,0.0
cat__team_abbreviation_MIA,0.0,0.0
cat__team_abbreviation_MEM,-0.0,0.0
cat__team_abbreviation_LAL,0.0,0.0
cat__team_abbreviation_LAC,0.0,0.0
cat__team_abbreviation_IND,0.0,0.0
cat__team_abbreviation_HOU,0.0,0.0
cat__team_abbreviation_GSW,0.0,0.0
cat__team_abbreviation_DET,0.0,0.0
cat__team_abbreviation_DEN,-0.0,0.0
cat__team_abbreviation_DAL,0.0,0.0
cat__team_abbreviation_CLE,-0.0,0.0
cat__team_abbreviation_CHI,-0.0,0.0
cat__team_abbreviation_CHH,0.0,0.0
cat__team_abbreviation_CHA,-0.0,0.0
cat__team_abbreviation_BOS,0.0,0.0
cat__team_abbreviation_BKN,-0.0,0.0
cat__team_abbreviation_ATL,-0.0,0.0
num__ast,-0.0,0.0
num__usg_pct_lag1,0.0,0.0
num__ts_pct_lag1,0.0,0.0
cat__team_abbreviation_PHX,-0.0,0.0
cat__team_abbreviation_SAC,0.0,0.0
cat__team_abbreviation_SEA,-0.0,0.0
cat__college_Austin Peay,-0.0,0.0
cat__college_Cal Poly,0.0,0.0
cat__college_Butler Community College,0.0,0.0
cat__college_Butler,0.0,0.0
cat__college_Bucknell,0.0,0.0
cat__college_Brigham Young,-0.0,0.0
cat__college_Bradley,-0.0,0.0
cat__college_Bowling Green,-0.0,0.0
cat__college_Boston College,-0.0,0.0
cat__college_Boise State,-0.0,0.0
cat__college_Blinn,0.0,0.0
cat__college_Belmont,-0.0,0.0
cat__college_Baylor,-0.0,0.0
cat__college_Ball State,-0.0,0.0
cat__college_Augsburg,-0.0,0.0
cat__team_abbreviation_TOR,0.0,0.0
cat__college_Auburn,-0.0,0.0
cat__college_Arkansas-Little Rock,0.0,0.0
cat__college_Arkansas,0.0,0.0
cat__college_Arizona State,0.0,0.0
cat__college_Arizona,-0.0,0.0
cat__college_American International,0.0,0.0
cat__college_Albany State (GA),0.0,0.0
cat__college_Alabama-Birmingham,-0.0,0.0
cat__college_Alabama,-0.0,0.0
cat__college_ ,-0.0,0.0
cat__team_abbreviation_WAS,0.0,0.0
cat__team_abbreviation_VAN,0.0,0.0
cat__team_abbreviation_UTA,0.0,0.0
cat__college_Kansas,-0.0,0.0
cat__college_Kansas State,-0.0,0.0
cat__college_Kent State,0.0,0.0
cat__college_Kentucky,0.0,0.0
cat__college_South Florida,-0.0,0.0
cat__college_South Dakota State,-0.0,0.0
cat__college_South Carolina Upstate,0.0,0.0
cat__college_South Carolina,-0.0,0.0
cat__college_Shaw,0.0,0.0
cat__college_Seton Hall,-0.0,0.0
cat__college_Santa Clara,0.0,0.0
cat__college_San Jose State,-0.0,0.0
cat__college_San Diego State,0.0,0.0
cat__college_Saint Vincent,-0.0,0.0
cat__college_Saint Mary's (CA),-0.0,0.0
cat__college_Saint Louis,-0.0,0.0
cat__college_Saint Joseph's,-0.0,0.0
cat__college_S.E. Missouri,-0.0,0.0
cat__college_Rutgers,-0.0,0.0
cat__college_Robert Morris (IL),0.0,0.0
cat__college_Rider,-0.0,0.0
cat__college_Richmond,0.0,0.0
cat__college_Rice,-0.0,0.0
cat__college_Rhode Island,0.0,0.0
cat__college_Radford,-0.0,0.0
cat__college_Purdue,0.0,0.0
cat__college_Providence,-0.0,0.0
cat__college_Portland State,-0.0,0.0
cat__college_Pittsburgh,-0.0,0.0
cat__college_Pfeiffer,-0.0,0.0
cat__college_Pepperdine,-0.0,0.0
cat__college_Pennsylvania,-0.0,0.0
cat__college_Penn State,-0.0,0.0
cat__college_Southeastern Illinois,-0.0,0.0
cat__college_Southeastern Oklahoma State,0.0,0.0
cat__college_Southern,0.0,0.0
cat__college_Temple,-0.0,0.0
cat__college_Trinity Valley Community College,0.0,0.0
cat__college_Texas-San Antonio,-0.0,0.0
cat__college_Texas-El Paso,-0.0,0.0
cat__college_Texas-Austin,0.0,0.0
cat__college_Texas Tech,-0.0,0.0
num__player_height,0.0,0.0
cat__college_Texas Christian,0.0,0.0
cat__college_Texas A&M,0.0,0.0
cat__college_Texas,0.0,0.0
cat__college_Tennessee-Martin,0.0,0.0
cat__college_Tennessee-Chattanooga,-0.0,0.0
cat__college_Tennessee State,-0.0,0.0
cat__college_Tennessee,-0.0,0.0
cat__college_TCU,0.0,0.0
cat__college_Southern California,0.0,0.0
cat__college_Syracuse,-0.0,0.0
cat__college_Stetson,-0.0,0.0
cat__college_Stanford,-0.0,0.0
cat__college_St.Mary's College of California,-0.0,0.0
cat__college_St. Mary's (CA),0.0,0.0
cat__college_St. Joseph's (PA),-0.0,0.0
"cat__college_St. John's, N.Y.",-0.0,0.0
cat__college_St. John's (NY),-0.0,0.0
cat__college_St. John's,-0.0,0.0
cat__college_St. Bonaventure,-0.0,0.0
cat__college_Southern Mississippi,-0.0,0.0
cat__college_Southern Methodist,-0.0,0.0
cat__college_Southern Illinois,-0.0,0.0
cat__college_Pacific,-0.0,0.0
cat__college_Oregon State,0.0,0.0
cat__college_Oregon,-0.0,0.0
cat__college_Marquette,0.0,0.0
cat__college_Minnesota,-0.0,0.0
cat__college_Michigan State,0.0,0.0
cat__college_Michigan,0.0,0.0
cat__college_Miami (OH),0.0,0.0
cat__college_Miami (FL),0.0,0.0
cat__college_Miami,0.0,0.0
cat__college_Meridian Community College,-0.0,0.0
cat__college_Mercer,0.0,0.0
cat__college_Memphis,-0.0,0.0
cat__college_McNeese State,0.0,0.0
cat__college_Massachusetts,-0.0,0.0
cat__college_Maryland,-0.0,0.0
cat__college_Marshall,0.0,0.0
cat__college_Marist,0.0,0.0
cat__college_Mississippi State,-0.0,0.0
cat__college_Loyola-Maryland,0.0,0.0
cat__college_Louisville,0.0,0.0
cat__college_Louisiana-Lafayette,-0.0,0.0
cat__college_Louisiana Tech,0.0,0.0
cat__college_Louisiana State,-0.0,0.0
cat__college_Louisana-Lafayette,-0.0,0.0
cat__college_Longwood,0.0,0.0
cat__college_Long Beach State,0.0,0.0
cat__college_Lipscomb,-0.0,0.0
cat__college_Lehigh,0.0,0.0
cat__college_Le Moyne,-0.0,0.0
cat__college_Lamar,-0.0,0.0
cat__college_La Salle,0.0,0.0
cat__college_Mississippi,-0.0,0.0
cat__college_Missouri,0.0,0.0
cat__college_Oral Roberts,-0.0,0.0
cat__college_North Carolina,-0.0,0.0
cat__college_Old Dominion,-0.0,0.0
cat__college_Oklahoma State,-0.0,0.0
cat__college_Oklahoma,-0.0,0.0
cat__college_Ohio State,-0.0,0.0
cat__college_Ohio,-0.0,0.0
cat__college_Oakland,0.0,0.0
